; Zeus eventmsg.txt																	   
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"because [leader_name] is really pleased with you"
PHRASE_famine_relief_relief_refuse_reason_S	 		"because you did not send [amount] food to my people,"
PHRASE_famine_relief_relief_no_reason_S				""

PHRASE_famine_relief_relief_title_D 					"[city_name] suffers famine"
PHRASE_famine_relief_relief_oracle_prediction_D		"Most honorable [player_name], I, the wise priestess from the oracle, have seen what the Fates have in store for your rival, [city_name] and its leader, [leader_name]. A famine will strike them, leaving the people withered like old grapevines in the street. If you send [amount] food within a year, you can avert this disaster and perhaps earn the respect of [leader_name]."
PHRASE_famine_relief_relief_initial_announcement_D		"Listen, [player_name]. I, [leader_name] of [city_name], have a problem, and you are going to help me out. My city is suffering from a famine, and I demand that you send [amount] food within [time_allotted] months so that I can feed my people. You'd better do what I say, runt!"
PHRASE_famine_relief_relief_reminder_D 				"What's the matter, [player_name], didn't you hear me the first time? Where's that [amount] food that I, [leader_name] of [city_name], asked you to send? If you know what's good for you, you'll send the [amount] food in the next six months. My hungry people are waiting!"
PHRASE_famine_relief_relief_overdue_D 					"Bad move, [player_name]. You should know better than to ignore me. Even though the famine at my city of [city_name] is over and my people are eating again, I'm not going to let you get off the hook that easily. Send me the [amount] food I requested soon, and I might overlook your insolence."
PHRASE_famine_relief_relief_warning_D 					"All right, [player_name]. You seem determined to anger me, the leader of [city_name]. I'll give you six more months. If you don't send the [amount] food by then, I just might do something that you'll regret."
PHRASE_famine_relief_relief_early_reason_D	  			"because you anticipated my need for [amount] food,"
PHRASE_famine_relief_relief_comply_reason_D  			"because you, like an obedient dog, sent [amount] food,"
PHRASE_famine_relief_relief_too_late_reason_D 	 		"because you were too slow in sending the [amount] food,"
PHRASE_famine_relief_relief_refuse_reason_D	 		"because you refused to send [amount] food,"
PHRASE_famine_relief_relief_no_reason_D				""

PHRASE_famine_relief_relief_title_P 					"[city_name] suffers famine"
PHRASE_famine_relief_relief_oracle_prediction_P		"Greetings, [player_name]. I, the sage priestess of the oracle, have foreseen difficult times for your subject, [city_name] and its leader, [leader_name]. They will suffer a great famine, the likes of which haven't been seen around here for some time. If you send [amount] food within a year, [leader_name] and [city_name] might be saved from this horrible fate."
PHRASE_famine_relief_relief_initial_announcement_P		"Most revered [player_name], I, [leader_name] of [city_name], your humble subject, desperately need your help. A great famine has struck the city, and my people are starving. Please, most noble master, send us [amount] food within [time_allotted] months. We can turn to no one else!"
PHRASE_famine_relief_relief_reminder_P 				"Please help me, [player_name]! With every wail of hunger I hear, my heart breaks a little more! I, [leader_name] of [city_name] am begging you to send [amount] food within the next six months!"
PHRASE_famine_relief_relief_overdue_P 					"Why have you turned your back on us, [player_name]? Many of my people died, and my city, [city_name], will never be the same! We could still use some more food, so if you could find it in your heart - if you have one - to send [amount] food soon, I might be able to give you the benefit of the doubt."
PHRASE_famine_relief_relief_warning_P 					"What have we done to deserve your cruelty, [player_name]? I, [leader_name], have always served you well, and now you mistreat me and my city, [city_name]. If you send [amount] food in the next six months, I might try to be understanding of the great pressures you are under."
PHRASE_famine_relief_relief_early_reason_P	  			"because you somehow anticipated my need for [amount] food and sent it early,"
PHRASE_famine_relief_relief_comply_reason_P  			"because you benevolently sent the [amount] food my people needed,"
PHRASE_famine_relief_relief_too_late_reason_P 	 		"because you sent me the [amount] food I needed late,"
PHRASE_famine_relief_relief_refuse_reason_P	 		"because you heartlessly refused my plea for [amount] food,"
PHRASE_famine_relief_relief_no_reason_P				""

PHRASE_famine_relief_relief_title_R 					"[city_name] suffers famine"
PHRASE_famine_relief_relief_oracle_prediction_R		"Greetings, [player_name]. I am the all-seeing priestess from the oracle. I have conjured up a horrible vision of your parent city in the throes of a famine. This tragedy will happen within one year unless you send [amount] food to the city."
PHRASE_famine_relief_relief_initial_announcement_R		"Most cherished leader, [player_name], trouble abounds. While you are away establishing a new colony, our home city finds itself suffering from a famine. Please send us [amount] food within [time_allotted] months from the colony to help us through this difficult time."
PHRASE_famine_relief_relief_reminder_R 				"You must be busy, [player_name], for we know you wouldn't just ignore your home city of [city_name]. The famine is getting worse here, and the consequences could be dire if you don't send us [amount] food within the next six months."
PHRASE_famine_relief_relief_overdue_R 					"Have you completely forgotten us, [player_name]? How else are we to explain the fact that you neglected to send [amount] food to your own city of [city_name]? Send the food soon, for we still need it desperately."
PHRASE_famine_relief_relief_warning_R 					"Perhaps you intend to never return here, [player_name]! Send us the [amount] food we need in the next six months, or don't bother sending it at all. Some leader you turned out to be."
PHRASE_famine_relief_relief_early_reason_R	  			"because you sent me [amount] food early,"
PHRASE_famine_relief_relief_comply_reason_R  			"because you sent me [amount] food,"
PHRASE_famine_relief_relief_too_late_reason_R 	 		"because you were tardy in sending me [amount] food,"
PHRASE_famine_relief_relief_refuse_reason_R	 		"because you did not send me [amount] food,"
PHRASE_famine_relief_relief_no_reason_R				""

PHRASE_CONDENSED_famine_relief_relief_title_S 					"N/A"
PHRASE_CONDENSED_famine_relief_relief_oracle_prediction_S			"Seers predict famine at [city_name]. Send [amount] food."
PHRASE_CONDENSED_famine_relief_relief_initial_announcement_S		"[city_name] suffers famine. Send [amount] food in [time_allotted] months."
PHRASE_CONDENSED_famine_relief_relief_reminder_S 				"Six months left to send [city_name] [amount] food."
PHRASE_CONDENSED_famine_relief_relief_overdue_S 					"Deadline missed! Sending [amount] food late better than never."
PHRASE_CONDENSED_famine_relief_relief_warning_S 					"Six months left to send famine relief to [city_name]."
PHRASE_CONDENSED_famine_relief_relief_early_reason_S	  			"because you sent relief to [city_name] early,"
PHRASE_CONDENSED_famine_relief_relief_comply_reason_S  			"because you have sent famine relief to [city_name],"
PHRASE_CONDENSED_famine_relief_relief_too_late_reason_S 	 		"because you sent famine relief to [city_name] late,"
PHRASE_CONDENSED_famine_relief_relief_refuse_reason_S	 		"because you refused to send famine relief to [city_name],"
PHRASE_CONDENSED_famine_relief_relief_no_reason_S				""

PHRASE_CONDENSED_famine_relief_relief_title_D 					"N/A"
PHRASE_CONDENSED_famine_relief_relief_oracle_prediction_D		"Seers predict that famine will strike [city_name]. Send [amount] food."
PHRASE_CONDENSED_famine_relief_relief_initial_announcement_D		"[city_name] demands famine relief of [amount] food be sent in [time_allotted] months."
PHRASE_CONDENSED_famine_relief_relief_reminder_D 				"[city_name] awaits famine relief. You have 6 months left."
PHRASE_CONDENSED_famine_relief_relief_overdue_D 					"Deadline missed! Send famine relief within 2 years to avoid the ire of [city_name]."
PHRASE_CONDENSED_famine_relief_relief_warning_D 					"Six months left to send famine relief to [city_name]."
PHRASE_CONDENSED_famine_relief_relief_early_reason_D	  			"because you anticipated the need of [city_name]"
PHRASE_CONDENSED_famine_relief_relief_comply_reason_D  			"because you fulfilled the famine relief demand of [city_name]"
PHRASE_CONDENSED_famine_relief_relief_too_late_reason_D 	 		"because you sent famine relief to [city_name] late"
PHRASE_CONDENSED_famine_relief_relief_refuse_reason_D	 		"because you did not send famine relief to [city_name]"
PHRASE_CONDENSED_famine_relief_relief_no_reason_D				""

PHRASE_CONDENSED_famine_relief_relief_title_P 					"N/A"
PHRASE_CONDENSED_famine_relief_relief_oracle_prediction_P		"Seers predict a famine will strike [city_name].  Send [amount] food."
PHRASE_CONDENSED_famine_relief_relief_initial_announcement_P		"[city_name] begs for [amount] food in [time_allotted] months for famine relief."
PHRASE_CONDENSED_famine_relief_relief_reminder_P 				"[city_name] still hopes for famine relief. Send food within 6 months."
PHRASE_CONDENSED_famine_relief_relief_overdue_P 					"Deadline missed! Send relief to [city_name] quickly to avoid problems."
PHRASE_CONDENSED_famine_relief_relief_warning_P 					"Six months left to send famine relief to [city_name]."
PHRASE_CONDENSED_famine_relief_relief_early_reason_P	  			"because you sent famine relief to [city_name] early,"
PHRASE_CONDENSED_famine_relief_relief_comply_reason_P  			"because you sent famine relief to [city_name]"
PHRASE_CONDENSED_famine_relief_relief_too_late_reason_P 	 		"because you sent famine relief to [city_name] late"
PHRASE_CONDENSED_famine_relief_relief_refuse_reason_P	 		"because you did not send famine relief to [city_name]"
PHRASE_CONDENSED_famine_relief_relief_no_reason_P				""

PHRASE_CONDENSED_famine_relief_relief_title_R 					"N/A"
PHRASE_CONDENSED_famine_relief_relief_oracle_prediction_R		"Seers predict a famine at [city_name]. Send [amount] food."
PHRASE_CONDENSED_famine_relief_relief_initial_announcement_R		"[city_name] suffers from famine. Send [amount] food in [time_allotted] months."
PHRASE_CONDENSED_famine_relief_relief_reminder_R 				"[city_name] still expects famine relief. Six months left to comply."
PHRASE_CONDENSED_famine_relief_relief_overdue_R 					"Deadline missed! Send famine relief to parent city [city_name] to avoid wrath."
PHRASE_CONDENSED_famine_relief_relief_warning_R 					"Six months left to send famine relief to [city_name]."
PHRASE_CONDENSED_famine_relief_relief_early_reason_R	  			"because you sent famine relief to [city_name] early,"
PHRASE_CONDENSED_famine_relief_relief_comply_reason_R  			"because you sent famine relief to [city_name],"
PHRASE_CONDENSED_famine_relief_relief_too_late_reason_R 	 		"because you sent famine relief to [city_name] late,"
PHRASE_CONDENSED_famine_relief_relief_refuse_reason_R	 		"because you did not send famine relief to [city_name]"
PHRASE_CONDENSED_famine_relief_relief_no_reason_R				""

;*****General Request**********************************
PHRASE_general_request_title_S 					"[city_name] needs [itemshort]"
PHRASE_general_request_oracle_prediction_S		"I am the priestess from the oracle, and I have this to say: [leader_name], ruler of your ally, [city_name], will test your relationship, within a year, by asking you for [amount] [item]. If you send the items now, [leader_name] will be amazed at your mind-reading capabilities!"
PHRASE_general_request_initial_announcement_S		"Hello, [player_name]. I, [leader_name] of [city_name], need you to send [amount] [item] in [time_allotted] months. You don't need to know why we need it; just trust us as your ally and send us the supplies."
PHRASE_general_request_reminder_S 				"I thought that I would gently remind you, [player_name], that I am still expecting you to send [amount] [item] to me at [city_name]. Please send the items within six months."
PHRASE_general_request_overdue_S 					"Hmmm, [player_name]. I don't seem to see the [amount] [item] that I had asked you, as an ally, to send to me at [city_name]. Perhaps they got lost on the way here. If you send me the items I requested now, I'll give you the benefit of the doubt."
PHRASE_general_request_warning_S 					"I'm beginning to question your value as an ally, [player_name]. I, [leader_name] of [city_name] am still awaiting the arrival of the [amount] [item] that I had asked you to send. Certainly, my other allies wouldn't treat me this way. Send the items within six months, or I just might give up on you entirely."
PHRASE_general_request_early_reason_S	  			"because you somehow anticipated my need for [amount] [item],"
PHRASE_general_request_comply_reason_S  			"because you agreeably sent my city [amount] [item],"
PHRASE_general_request_too_late_reason_S 	 		"because you did not send the [amount] [item] to my city in time,"
PHRASE_general_request_refuse_reason_S	 		"because you refused to send my city [amount] [item],"
PHRASE_general_request_no_reason_S				""

PHRASE_general_request_title_D 					"[city_name] demands [itemshort]"
PHRASE_general_request_oracle_prediction_D		"Listen to me, [player_name], for the gods have shown me the future! Within one year's time, [leader_name], the ruler of your rival [city_name], will demand that you send him [amount] [item]. His own supply is much inferior to yours, and he feels disgraced that he has to ask you for them."
PHRASE_general_request_initial_announcement_D		"Hey, [player_name], you inferior lout, send [amount] [item] to me at [city_name] in [time_allotted] months. I am the all-powerful [leader_name], and I could just come into your city and take them if I wanted to, so you might as well send them."
PHRASE_general_request_reminder_D 				"What's the matter with you, [player_name]? Maybe you didn't understand that I'm not giving you an option here. I'm telling you to send [amount] [item] to me at [city_name]. Send the goods within six months so I can put you out of mind."
PHRASE_general_request_overdue_D 					"I curse you, [player_name]. You didn't send [amount] [item] to my city, [city_name], as I demanded. You could soon learn that it isn't wise to mess with me, the great leader [leader_name]. If you send me the items now, I'll think you're just slow, not dense."
PHRASE_general_request_warning_D 				"[player_name], you pustule, you had better send the [amount] [item] soon! I won't wait much longer!."
PHRASE_general_request_early_reason_D	  			"because you sent the [amount] [item] to my city in advance,"
PHRASE_general_request_comply_reason_D  			"because you caved to my demand that you send [amount] [item],"
PHRASE_general_request_too_late_reason_D 	 		"because you were horribly late in sending my city [amount] [item],"
PHRASE_general_request_refuse_reason_D	 		"because you foolishly refused to send my city [amount] [item],"
PHRASE_general_request_no_reason_D				""

PHRASE_general_request_title_P 					"[city_name] begs for [itemshort]"
PHRASE_general_request_oracle_prediction_P		"I, the seer from the oracle, have news for you, [player_name]. Within a year, your subject, [city_name], will find that it has an unexpected shortfall of [item] which will hinder the city's services. [leader_name] of [city_name] will turn to you for help. If you send [amount] [item] now, you can help them avoid this fate."
PHRASE_general_request_initial_announcement_P		"Oh great [player_name], please help me through this. Due to a recent fire in our city, I, [leader_name] of [city_name], am in need of [item], and turn to you for help. Our city will have a hard time managing without it, and I ask that you send [amount] [item] in [time_allotted] months to alleviate our shortage."
PHRASE_general_request_reminder_P 				"You must be very busy, [player_name]. What else could be the reason that you have yet to send [amount] [item] to my city, [city_name]. I, [leader_name], depend on your benevolence. Please send the items in the next six months."
PHRASE_general_request_overdue_P 					"Does our dependence on you annoy you, [player_name]? Are you trying to teach me some kind of lesson? Why haven't you sent the [amount] [item] that I, [leader_name], so humbly asked for? My city, [city_name], is suffering! Please send the items along anyway. We can still use them."
PHRASE_general_request_warning_P 					"Wait until your other subjects hear about this, [player_name]. I can't believe you neglected my city, [city_name], in its time of need! I'm not sure I'll ever get over this insult. Maybe if you send [amount] [item] along anyway, I'll find it in my heart to forgive you."
PHRASE_general_request_early_reason_P	  			"because you somehow anticipated my need and sent [amount] [item] to my city,"
PHRASE_general_request_comply_reason_P  			"because you are a kind master and sent [amount] [item] to my city,"
PHRASE_general_request_too_late_reason_P 	 		"because you sent my city [amount] [item] too late,"
PHRASE_general_request_refuse_reason_P	 		"because you cruelly refused to send [amount] [item] to me,"
PHRASE_general_request_no_reason_P				""

PHRASE_general_request_title_R 					"[city_name] requisitions [itemshort]"
PHRASE_general_request_oracle_prediction_R		"The gods have spoken to me, [player_name], and had this to say: your parent city, [city_name], will find that it needs [amount] [item]. If you send the items now, [leader_name], who has assumed rule in your absence, will be astonished by how well you can predict the needs of your city."
PHRASE_general_request_initial_announcement_R		"Hello, [player_name]. I, [leader_name], your deputy in [city_name], need your help. We need [amount] [item] within [time_allotted] months. We've used more than we thought we would, and will soon run out if you don't send the item along."
PHRASE_general_request_reminder_R 				"My most capable leader [player_name], we here at [city_name], your parent city, are still awaiting the arrival of [amount] [item]. Please send the items within the next six months."
PHRASE_general_request_overdue_R 				"I am astounded, [player_name]. Your time has run out, and we still await the delivery of [amount] [item] here at your parent city, [city_name]. Though I, [leader_name], am your deputy, I am more loyal to my city than I am to you. Send the items now, and you reputation might be repaired in my eyes."
PHRASE_general_request_warning_R 					"You still haven't sent us the [amount] [item], [player_name]! I, [leader_name], could arrange to make life very difficult for you. Send the items within six months."
PHRASE_general_request_early_reason_R	  			"because you sent  [amount] [item] to us ahead of time,"
PHRASE_general_request_comply_reason_R  			"because you sent us the [amount] [item] we needed,"
PHRASE_general_request_too_late_reason_R 	 		"because you were tardy in fulfilling my request for [amount] [item],"
PHRASE_general_request_refuse_reason_R	 		"because you turned your back on your own parent city and did not send us the [amount] [item],"
PHRASE_general_request_no_reason_R				""


PHRASE_CONDENSED_general_request_title_S 					"N/A"
PHRASE_CONDENSED_general_request_oracle_prediction_S			"Seers predict [city_name] will need [amount] [item]."
PHRASE_CONDENSED_general_request_initial_announcement_S		"[city_name] needs [amount] [item] in [time_allotted] months."
PHRASE_CONDENSED_general_request_reminder_S 				"Six months left to send [city_name] [amount] [item]."
PHRASE_CONDENSED_general_request_overdue_S 				"Deadline missed! Sending [city_name] items late is better than never."
PHRASE_CONDENSED_general_request_warning_S 				"Six months left to send [city_name] [amount] [item]."
PHRASE_CONDENSED_general_request_early_reason_S	  			"since you sent [amount] [item] early"
PHRASE_CONDENSED_general_request_comply_reason_S  			"since you sent [amount] [item]"
PHRASE_CONDENSED_general_request_too_late_reason_S 	 		"since you sent [amount] [item] late"
PHRASE_CONDENSED_general_request_refuse_reason_S	 		"since you did not send [amount] [item]"
PHRASE_CONDENSED_general_request_no_reason_S				""

PHRASE_CONDENSED_general_request_title_D 					"N/A"
PHRASE_CONDENSED_general_request_oracle_prediction_D			"Seers predict [city_name] will demand [amount] [item]."
PHRASE_CONDENSED_general_request_initial_announcement_D		"[city_name] demands [amount] [item] be sent in [time_allotted] months."
PHRASE_CONDENSED_general_request_reminder_D 				"Six months left to send [city_name] [amount] [item]."
PHRASE_CONDENSED_general_request_overdue_D 				"Deadline missed! Sending [city_name] items late is better than never."
PHRASE_CONDENSED_general_request_warning_D 				"Six months left to send [city_name] [amount] [item]."
PHRASE_CONDENSED_general_request_early_reason_D	  			"since you sent [amount] [item] early"
PHRASE_CONDENSED_general_request_comply_reason_D  			"since you sent [amount] [item]"
PHRASE_CONDENSED_general_request_too_late_reason_D 	 		"since you sent [amount] [item] late]"
PHRASE_CONDENSED_general_request_refuse_reason_D	 		"since you did not send [amount] [item]"
PHRASE_CONDENSED_general_request_no_reason_D				""

PHRASE_CONDENSED_general_request_title_P 					"N/A"
PHRASE_CONDENSED_general_request_oracle_prediction_P		"Seers predict [city_name] will need [amount] [item]."
PHRASE_CONDENSED_general_request_initial_announcement_P		"[city_name] begs for [amount] [item] in [time_allotted] months."
PHRASE_CONDENSED_general_request_reminder_P 				"Six months left to send [city_name] [amount] [item]."
PHRASE_CONDENSED_general_request_overdue_P 					"Deadline missed! Sending [city_name] [item] late better than never."
PHRASE_CONDENSED_general_request_warning_P 					"Six months left to send [city_name] [amount] [item]."
PHRASE_CONDENSED_general_request_early_reason_P	  			"since you sent [amount] [item] early"
PHRASE_CONDENSED_general_request_comply_reason_P  			"since you sent [amount] [item]"
PHRASE_CONDENSED_general_request_too_late_reason_P 	 		"since you sent [amount] [item] late"
PHRASE_CONDENSED_general_request_refuse_reason_P	 		"since you did not send [amount] [item]"
PHRASE_CONDENSED_general_request_no_reason_P				""

PHRASE_CONDENSED_general_request_title_R 					"N/A"
PHRASE_CONDENSED_general_request_oracle_prediction_R		"Seers predict [city_name] will need [amount] [item]."
PHRASE_CONDENSED_general_request_initial_announcement_R		"[city_name] requires [amount] [item] in [time_allotted] months."
PHRASE_CONDENSED_general_request_reminder_R 				"Six months left to send [city_name] [amount] [item]."
PHRASE_CONDENSED_general_request_overdue_R 					"Deadline missed! Sending [city_name] [item] late better than never."
PHRASE_CONDENSED_general_request_warning_R 					"Six months left to send [city_name] [amount] [item]."
PHRASE_CONDENSED_general_request_early_reason_R	  			"since you sent [amount] [item] early"
PHRASE_CONDENSED_general_request_comply_reason_R  			"since you sent [amount] [item]"
PHRASE_CONDENSED_general_request_too_late_reason_R 	 		"since you sent [amount] [item] late"
PHRASE_CONDENSED_general_request_refuse_reason_R	 		"since you did not send [amount] [item]"
PHRASE_CONDENSED_general_request_no_reason_R				""

;******Building Project*********************************************************
PHRASE_building_project_title_S 					"[city_name] needs [itemshort]"
PHRASE_building_project_oracle_prediction_S		"I, the priestess from the oracle, have seen the future, [player_name]! I see [leader_name], ruler of [city_name], looking at his city in despair.  A Sanctuary, which once stood as a testament to the gods, will crumble to the earth.  [leader_name] will need [amount] [item] from you to repair the building. If you send the items now, your ally will marvel at your prescience."
PHRASE_building_project_initial_announcement_S		"Dearest [player_name], I, [leader_name] of [city_name], have a favor to ask of you. One of my Sanctuaries has collapsed into a heap, and I need [amount] [item] to rebuild it.  Please send me the [itemshort] within [time_allotted] months so that the gods do not take offense. "
PHRASE_building_project_reminder_S 				"My friend [player_name], a once grand Sanctuary is now an eyesore in [city_name] and will continue to offend mortals and gods alike unless you send the [amount] [item] I need.  Please send it within the next six months."
PHRASE_building_project_overdue_S 					"I, [leader_name] of [city_name], am distraught, [player_name]. The Sanctuary is still in shambles, all because you haven't sent me the [amount] [item] I need. If you send the items now, we can resume construction and finish our project late."
PHRASE_building_project_warning_S 					"I, [leader_name], am the laughing stock of my own city, [city_name], and I hold you solely responsible! You have failed to send the [amount] [item] that I needed to repair the Sanctuary, and now it remains in ruins, mocking me. The construction crew is about to go home. If you send the [amount] [item] now, maybe I can convince them to stay and finish the project."
PHRASE_building_project_early_reason_S	  			"because you sent me the [amount] [item] I needed early,"
PHRASE_building_project_comply_reason_S  			"because you sent me the [amount] [item] I needed,"
PHRASE_building_project_too_late_reason_S 	 		"because you delayed in sending me the [amount] [item] I needed,"
PHRASE_building_project_refuse_reason_S	 		"because you ignored my request for [amount] [item],"
PHRASE_building_project_no_reason_S				""

PHRASE_building_project_title_D 					"[city_name] demands [itemshort]"
PHRASE_building_project_oracle_prediction_D		"I am the seer from the oracle, and I have seen what is in store for your rival, [city_name]. [leader_name], the city's leader, will undertake a huge building project and will need [amount] [item] from you to complete it. Send the items within a year if you want to curry your rival's favor."
PHRASE_building_project_initial_announcement_D		"Look lively, [player_name]. Even though you're just an insignificant gnat, you can still help me. I need [amount] [item] for a building project in my city of [city_name]. Send me the items within [time_allotted] months, and I might just think you are a slightly more significant fly."
PHRASE_building_project_reminder_D 				"Is there anything in that cranium of yours, [player_name]? Where's my [amount] [item] for my building project at [city_name]? Did you forget, knucklehead? Send it within six months, or else!"
PHRASE_building_project_overdue_D 					"I am astounded, [player_name]. You do know who I am, right? [leader_name], ruler of [city_name]? How dare you ignore my demand for [amount] [item]! My building project at [city_name] is incomplete because you didn't have the sense to send me the things I need! Send the [item] now so I can at least finish the project, you numbskull."
PHRASE_building_project_warning_D 					"Well, I never! Listen, [player_name], I need the [amount] [item] for my building project at [city_name]. I need it now. Send it. Are we clear?"
PHRASE_building_project_early_reason_D	  			"because you knew my mind and sent me the [amount] [item] I needed for my building project,"
PHRASE_building_project_comply_reason_D  			"because you docilely complied with my demand for [amount] [item] for my building project,"
PHRASE_building_project_too_late_reason_D 	 		"because you delayed in sending me the [amount] [item] I needed for my building project,"
PHRASE_building_project_refuse_reason_D	 		"because you stalled my building project by refusing my demand for [amount] [item],"
PHRASE_building_project_no_reason_D				""

PHRASE_building_project_title_P 					"[city_name] wants [itemshort]"
PHRASE_building_project_oracle_prediction_P		"I am the seer from the oracle, and I have seen the future: [leader_name] of [city_name], your subject, will undertake a great building project. The project, however, will be poorly planned, and [leader_name] will need [amount] [item] to finish it. If you send the item within a year, you'll save [leader_name] some embarrassment."
PHRASE_building_project_initial_announcement_P		"Most wise and beneficent [player_name], I, [leader_name], shame-facedly come to you for help. I have begun a building project at [city_name], but failed to foresee that I would need an additional [amount] [item]. Now, I run the risk of not being able to finish the project. If you send the [amount] [item] within [time_allotted] months, I'll dedicate the building to you!"
PHRASE_building_project_reminder_P 				"Oh great [player_name], I, [leader_name], am getting a little anxious. We are almost out of [item], and we desperately need [amount] [item] from you if I am to finish my building project at [city_name]. I fear how my followers will react if I leave a half-finished building blighting their city. Please send me the goods within six months."
PHRASE_building_project_overdue_P 					"Woe is me, [player_name], woe is me! My people think that I, [leader_name], am foolish, and there is talk of removing me from [city_name]. All this is happening because you never sent me the [amount] [item] I needed to finish my building project. Maybe if you send the goods now, I can still finish the project and earn some respect from my followers!"
PHRASE_building_project_warning_P 					"Do you harbor ill will towards me, [player_name]? My people at [city_name] have been doing unspeakable things to effigies of me! They speak of sending me, [leader_name], from the city! I'm begging you, please send the [amount] [item] so that I can complete my building project!"
PHRASE_building_project_early_reason_P	  			"because you sent me the [amount] [item] for my building project before I even realized I needed it,"
PHRASE_building_project_comply_reason_P  			"because you kindly sent me the [amount] [item] I needed for my building project,"
PHRASE_building_project_too_late_reason_P 	 		"because you delayed disbursing [amount] [item] to me for my building project,"
PHRASE_building_project_refuse_reason_P	 		"because you ignored my plea for [amount] [item] to help finish my building project,"
PHRASE_building_project_no_reason_P				""

PHRASE_building_project_title_R 					"[city_name] needs [itemshort]"
PHRASE_building_project_oracle_prediction_R		"I am the all-knowing priestess from the oracle, [player_name], and I see that within one year's time your parent city, [city_name], will require your aid. In your absence, your deputy, [leader_name], will begin a construction project and find that [item] is in woefully short supply. If you send the items within a year, [leader_name] will marvel at how well you know your parent city's heart."
PHRASE_building_project_initial_announcement_R		"Most excellent [player_name], I, [leader_name], your deputy at your parent city of [city_name], need your help. We have undertaken a construction project in your absence, and need [amount] [item] within [time_allotted] months to finish it on time. Even though you are busy establishing a new colony, don't forget the needs of your parent city!"
PHRASE_building_project_reminder_R 				"I don't mean to be a nag, [player_name], but your parent city, [city_name], is still waiting for the [amount] [item] that I asked you to send. We need it within six months."
PHRASE_building_project_overdue_R 					"I don't mean to make this sound like a threat, [player_name], but the people at [city_name] know that I, [leader_name], am not the one to blame for the incomplete building project. If you don't send the [amount] [item] now, I'm going to instruct our construction workers to tear the half-finished building down, rather than having it be an eyesore to our city."
PHRASE_building_project_warning_R 					"Well, [player_name], if you don't send me the [amount] [item] for the construction project at [city_name] soon, a lot of time and effort will be wasted."
PHRASE_building_project_early_reason_R	  			"because you sent me the [amount] [item] needed for the building project early,"
PHRASE_building_project_comply_reason_R  			"because you sent me the [amount] [item] I needed for the building project,"
PHRASE_building_project_too_late_reason_R 	 		"because you were too slow in sending me the [amount] [item] for the building project,"
PHRASE_building_project_refuse_reason_R	 		"because you failed to send me the [amount] [item] I needed for the building project,"
PHRASE_building_project_no_reason_R				""


PHRASE_CONDENSED_building_project_title_S 					"N/A"
