{eBuildingType::commonAgora, 21, 6, 0},
{eBuildingType::gymnasium, 20, 1},
{eBuildingType::road, 21, 9},
{eBuildingType::park, 0, 10},
{eBuildingType::avenue, 3, 10},
{eBuildingType::road, 4, 10},
{eBuildingType::commonHouse, 19, 11},
{eBuildingType::road, 21, 10},
{eBuildingType::oilVendor, 22, 11},
{eBuildingType::park, 0, 11},
{eBuildingType::commonHouse, 1, 12},
{eBuildingType::avenue, 3, 11},
{eBuildingType::road, 4, 11},
{eBuildingType::commonHouse, 5, 12},
{eBuildingType::commonHouse, 7, 12},
{eBuildingType::commonHouse, 9, 12},
{eBuildingType::commonHouse, 11, 12},
{eBuildingType::commonHouse, 13, 12},
{eBuildingType::commonHouse, 15, 12},
{eBuildingType::commonHouse, 17, 12},
{eBuildingType::road, 21, 11},
{eBuildingType::park, 0, 12},
{eBuildingType::avenue, 3, 12},
{eBuildingType::road, 4, 12},
{eBuildingType::road, 19, 12},
{eBuildingType::road, 20, 12},
{eBuildingType::road, 21, 12},
{eBuildingType::theater, 24, 14},
{eBuildingType::park, 0, 13},
{eBuildingType::park, 1, 13},
{eBuildingType::park, 0, 14},
{eBuildingType::park, 1, 14},
{eBuildingType::fountain, 2, 14},
{eBuildingType::road, 4, 13},
{eBuildingType::road, 5, 13},
{eBuildingType::road, 6, 13},
{eBuildingType::road, 7, 13},
{eBuildingType::road, 8, 13},
{eBuildingType::road, 9, 13},
{eBuildingType::road, 10, 13},
{eBuildingType::road, 11, 13},
{eBuildingType::road, 12, 13},
{eBuildingType::road, 13, 13},
{eBuildingType::road, 14, 13},
{eBuildingType::road, 15, 13},
{eBuildingType::road, 16, 13},
{eBuildingType::road, 17, 13},
{eBuildingType::road, 18, 13},
{eBuildingType::road, 19, 13},
{eBuildingType::maintenanceOffice, 20, 14},
{eBuildingType::avenue, 4, 14},
{eBuildingType::avenue, 5, 14},
{eBuildingType::avenue, 6, 14},
{eBuildingType::avenue, 7, 14},
{eBuildingType::avenue, 8, 14},
{eBuildingType::avenue, 9, 14},
{eBuildingType::avenue, 10, 14},
{eBuildingType::avenue, 11, 14},
{eBuildingType::avenue, 12, 14},
{eBuildingType::avenue, 13, 14},
{eBuildingType::avenue, 14, 14},
{eBuildingType::avenue, 15, 14},
{eBuildingType::avenue, 16, 14},
{eBuildingType::avenue, 17, 14},
{eBuildingType::avenue, 18, 14},
{eBuildingType::avenue, 19, 14},
{eBuildingType::commonHouse, 3, 16},
{eBuildingType::commonHouse, 5, 16},
{eBuildingType::commonHouse, 7, 16},
{eBuildingType::commonHouse, 9, 16},
{eBuildingType::commonHouse, 11, 16},
{eBuildingType::commonHouse, 13, 16},
{eBuildingType::commonHouse, 15, 16},
{eBuildingType::commonHouse, 17, 16},
{eBuildingType::commonHouse, 19, 16}
