{eBuildingType::commonAgora, 12, 3, 3},
{eBuildingType::hospital, 8, 2},
{eBuildingType::avenue, 21, 12},
{eBuildingType::doricColumn, 0, 13},
{eBuildingType::road, 3, 13},
{eBuildingType::road, 4, 13},
{eBuildingType::road, 5, 13},
{eBuildingType::road, 6, 13},
{eBuildingType::road, 7, 13},
{eBuildingType::road, 8, 13},
{eBuildingType::road, 9, 13},
{eBuildingType::road, 10, 13},
{eBuildingType::road, 11, 13},
{eBuildingType::road, 12, 13},
{eBuildingType::road, 13, 13},
{eBuildingType::road, 14, 13},
{eBuildingType::road, 15, 13},
{eBuildingType::road, 16, 13},
{eBuildingType::road, 17, 13},
{eBuildingType::road, 18, 13},
{eBuildingType::road, 19, 13},
{eBuildingType::road, 20, 13},
{eBuildingType::commonHouse, 21, 14},
{eBuildingType::doricColumn, 23, 13},
{eBuildingType::doricColumn, 0, 14},
{eBuildingType::doricColumn, 1, 14},
{eBuildingType::doricColumn, 2, 14},
{eBuildingType::avenue, 3, 14},
{eBuildingType::avenue, 4, 14},
{eBuildingType::avenue, 5, 14},
{eBuildingType::avenue, 6, 14},
{eBuildingType::avenue, 7, 14},
{eBuildingType::avenue, 8, 14},
{eBuildingType::avenue, 9, 14},
{eBuildingType::avenue, 10, 14},
{eBuildingType::avenue, 11, 14},
{eBuildingType::avenue, 12, 14},
{eBuildingType::avenue, 13, 14},
{eBuildingType::avenue, 14, 14},
{eBuildingType::avenue, 15, 14},
{eBuildingType::avenue, 16, 14},
{eBuildingType::avenue, 17, 14},
{eBuildingType::avenue, 18, 14},
{eBuildingType::avenue, 19, 14},
{eBuildingType::avenue, 20, 14},
{eBuildingType::doricColumn, 23, 14},
{eBuildingType::gazebo, 0, 16},
{eBuildingType::gazebo, 2, 16},
{eBuildingType::commonHouse, 4, 16},
{eBuildingType::commonHouse, 6, 16},
{eBuildingType::commonHouse, 8, 16},
{eBuildingType::commonHouse, 10, 16},
{eBuildingType::commonHouse, 12, 16},
{eBuildingType::commonHouse, 14, 16},
{eBuildingType::commonHouse, 16, 16},
{eBuildingType::commonHouse, 18, 16},
{eBuildingType::commonHouse, 20, 16},
{eBuildingType::doricColumn, 22, 15},
{eBuildingType::doricColumn, 23, 15},
{eBuildingType::doricColumn, 22, 16},
{eBuildingType::doricColumn, 23, 16}
